Symbol,Description
PADI,PT Minna Padi Investama Sekuritas Tbk
PAMG,PT Bima Sakti Pertiwi Tbk
PART,PT Cipta Perdana Lancar Tbk
PBRX,PT Pan Brothers Tbk
PEGE,PT Panca Global Kapital Tbk
PGLI,PT Pembangunan Graha Lestari Indah Tbk
PICO,PT Pelangi Indah Canindo Tbk
PLAN,PT Planet Properindo Jaya Tbk
PMUI,PT Prima Multi Usaha Indonesia Tbk
PNBS,PT Bank Panin Dubai Syariah Tbk
POWR,PT Cikarang Listrindo Tbk
PPGL,PT Prima Globalindo Logistik Tbk
PPRI,PT Paperocks Indonesia Tbk
PRIM,PT Royal Prima Tbk
PSDN,PT Prasidha Aneka Niaga Tbk
PSKT,PT Red Planet Indonesia Tbk
PTMP,PT Mitra Pack Tbk
PTPP,PT PP (Persero) Tbk
PTPS,PT Pulau Subur Tbk
PURA,PT Putra Rajawali Kencana Tbk
RAAM,PT Tripar Multivision Plus Tbk
RAFI,PT Sari Kreasi Boga Tbk
RALS,PT Ramayana Lestari Sentosa Tbk
RELF,PT Graha Mitra Asia Tbk
RGAS,PT Kian Santang Muliatama Tbk
RMKO,PT Royaltama Mulia Kontraktorindo Tbk
RSCH,PT Charlie Hospital Semarang Tbk
SAME,PT Sarana Meditama Metropolitan Tbk
SDMU,PT Sidomulyo Selaras Tbk
SEMA,PT Semacom Integrated Tbk
SICO,PT Sigma Energy Compressindo Tbk
SIMP,PT Salim Ivomas Pratama Tbk
SLIS,PT Gaya Abadi Sempurna Tbk
SMBR,PT Semen Baturaja Tbk Class B
SMDR,PT Samudera Indonesia Tbk
SMKM,PT Sumber Mas Konstruksi Tbk
SMLE,PT Sinergi Multi Lestarindo Tbk
SNLK,PT Sunter Lakeside Hotel Tbk
SOCI,PT Soechi Lines Tbk
SOFA,PT Boston Furniture Industries Tbk
SOLA,PT Xolare Rcr Energy Tbk
SPRE,PT Soraya Berjaya Indonesia Tbk
SRSN,PT Indo Acidatama Tbk
STRK,PT Lovina Beach Brewery Tbk
SURI,PT Maja Agung Latexindo Tbk
SWID,PT Saraswanti Indoland Development Tbk
TAMU,PT Pelayaran Tamarin Samudra Tbk
TAXI,PT Express Transindo Utama Tbk
TAYS,PT Jaya Swarasa Agung Tbk
TMAS,PT Temas Tbk
TMPO,PT Tempo Inti Media Tbk
TNCA,PT Trimuda Nuansa Citra Tbk
TOOL,PT Rohartindo Nusantara Luas Tbk
TOSK,PT Topindo Solusi Komunika Tbk
TOTL,PT Total Bangun Persada Tbk
TRIN,PT Perintis Triniti Properti Tbk
TRON,PT Teknologi Karya Digital Nusa Tbk
TRUE,PT Triniti Dinamik Tbk
TRUK,PT Guna Timur Raya Tbk
TUGU,PT Asuransi Tugu Pratama Indonesia Tbk
UNTD,PT Terang Dunia Internusa Tbk
URBN,PT Urban Jakarta Propertindo Tbk
VERN,PT Verona Indah Pictures Tbk
VISI,PT Satu Visi Putra Tbk
VIVA,PT Visi Media Asia Tbk Class A
VTNY,PT Venteny Fortuna International Tbk
WAPO,PT Wahana Pronatural Tbk
WEGE,PT Wijaya Karya Bangunan Gedung Tbk
WEHA,PT WEHA Transportasi Indonesia Tbk
WIDI,PT Widiant Jaya Krenindo Tbk
WINR,PT Winner Nusantara Jaya Tbk
WMUU,PT Widodo Makmur Unggas Tbk
WOOD,PT Integra Indocabinet Tbk
WOWS,PT Ginting Jaya Energi Tbk
WSBP,PT Waskita Beton Precast Tbk
WTON,PT Wijaya Karya Beton Tbk
YELO,PT Yelooo Integra Datanet Tbk
ZINC,PT Kapuas Prima Coal Tbk
ZYRX,PT Zyrexindo Mandiri Buana Tbk
