Symbol,Description
PORT,PT Nusantara Pelabuhan Handal Tbk
PRAY,PT Famon Awal Bros Sedaya Tbk
PRDA,PT Prodia Widyahusada Tbk
PSAT,PT Pancaran Samudera Transport Tbk
PSGO,PT Palma Serasih Tbk.
PSSI,PT IMC Pelita Logistik Tbk
PTDU,PT Djasa Ubersakti Tbk
PTIS,PT Indo Straits Tbk
PTPW,PT Pratama Widya Tbk
PTSN,PT Sat Nusapersada Tbk
PTSP,PT Pioneerindo Gourmet International Tbk
PUDP,PT Pudjiadi Prestige Tbk Class A
PZZA,PT Sarimelati Kencana Tbk
RANC,PT Supra Boga Lestari Tbk
RBMS,PT Ristia Bintang Mahkotasejati Tbk
RCCC,PT Utama Radar Cahaya Tbk
RDTX,PT Roda Vivatex Tbk
RELI,PT Reliance Sekuritas Indonesia Tbk
RICY,PT Ricky Putra Globalindo Tbk
RIGS,PT Rig Tenders Indonesia Tbk
ROCK,PT Rockfields Properti Indonesia Tbk
RODA,PT Pikko Land Development Tbk
RONY,PT Aracord Nusantara Group Tbk
ROTI,PT Nippon Indosari Corpindo Tbk
RUIS,PT Radiant Utama Interinsco Tbk
RUNS,PT Global Sukses Solusi Tbk
SAFE,PT Steady Safe Tbk
SAGE,PT Saptausaha Gemilangindah Tbk
SAMF,PT Saraswanti Anugerah Makmur Tbk
SAPX,PT Satria Antaran Prima Tbk
SATU,PT Kota Satu Properti Tbk
SBMA,PT Surya Biru Murni Acetylene Tbk
SCCO,PT Supreme Cable Manufacturing & Commerce Tbk
SCNP,PT Selaras Citra Nusantara Perkasa Tbk
SDPC,PT Millennium Pharmacon International Tbk
SDRA,PT Bank Woori Saudara Indonesia 1906 Tbk
SFAN,PT Surya Fajar Capital Tbk
SHID,PT Hotel Sahid Jaya International Tbk
SHIP,PT Sillo Maritime Perdana Tbk
SILO,PT Siloam International Hospitals Tbk Reg-S
SINI,PT Singaraja Putra Tbk
SIPD,PT Sreeya Sewu Indonesia Tbk Class A
SKBM,PT Sekar Bumi Tbk
SKLT,PT Sekar Laut Tbk
SKRN,PT Superkrane Mitra Utama
SMAR,PT Sinar Mas Agro Resources & Technology Tbk
SMDM,PT Suryamas Dutamakmur Tbk
SMKL,PT Satyamitra Kemas Lestari Tbk
SMMA,PT Sinar Mas Multiartha Tbk Class A
SMMT,PT Golden Eagle Energy Tbk
SMSM,PT Selamat Sempurna Tbk
SOHO,PT Soho Global Health Tbk
SONA,PT Sona Topas Tourism Industry Tbk
SOSS,PT Shield On Service Tbk
SOTS,PT Satria Mega Kencana Tbk
SOUL,PT Mitra Tirta Buwana Tbk
SPMA,PT Suparma Tbk
SPTO,PT Surya Pertiwi Tbk
SRAJ,PT Sejahteraraya Anugrahjaya Tbk
SRTG,PT Saratoga Investama Sedaya Tbk
SSTM,PT Sunson Textile Manufacturer Tbk
STAR,PT Buana Artha Anugerah Tbk
STTP,PT Siantar Top Tbk
SULI,PT SLJ Global Tbk
SUNI,PT Sunindo Pratama Tbk
SURE,PT Super Energy Tbk
TALF,PT Tunas Alfin Tbk
TAMA,PT Lancartama Sejati Tbk
TARA,PT Agung Semesta Sejahtera Tbk
TBIG,PT Tower Bersama Infrastructure Tbk
TBLA,PT Tunas Baru Lampung Tbk
TBMS,PT Tembaga Mulia Semanan Tbk
TCID,PT Mandom Indonesia Tbk
TFAS,PT Telefast Indonesia Tbk
TFCO,"PT Tifico Fiber Indonesia, Tbk"
TGKA,PT Tigaraksa Satria Tbk
TIFA,PT KDB Tifa Finance Tbk
TIRA,PT Tira Austenite Tbk
TIRT,PT Tirta Mahakam Resources Tbk
TKIM,PT Pabrik Kertas Tjiwi Kimia Tbk
TLDN,PT Teladan Prima Agro Tbk
TOTO,PT Surya Toto Indonesia Tbk
TPMA,PT Trans Power Marine Tbk
TRGU,PT Cerestar Indonesia Tbk
TRIM,PT Trimegah Sekuritas Indonesia Tbk
TRIS,PT Trisula International Tbk
TRJA,PT Transkon Jaya Tbk
TRST,"PT Trias Sentosa, Tbk"
TRUS,PT Trust Finance Indonesia Tbk
TSPC,PT Tempo Scan Pacific Tbk
TYRE,PT King Tire Indonesia Tbk
UCID,PT Uni-Charm Indonesia Tbk
UDNG,PT Agro Bahari Nusantara Tbk
UFOE,PT Damai Sejahtera Abadi Tbk
